facility_name,operator,address,market,url,Spec: Automatic Firesupression,Spec: Biometric Access Control,Spec: Breakroom,Spec: Build-to-Suit,Spec: Building Floors,Spec: CCTV surveillance,Spec: Cages,Spec: Card Access Control,Spec: Conference Room,Spec: Construction Type,Spec: Cooling Redundancy,Spec: Crash Cart(s),Spec: DSS PCI Compliant,Spec: Fenced Perimeter,Spec: Floor Type,Spec: Floor to Ceiling Height,Spec: Footprints,Spec: Full Cabinets,Spec: Fully Built-Out Power,Spec: Fully Built-Out Whitespace,Spec: ISO14001 Certified,Spec: ISO22301 Certified,Spec: ISO27001 Certified,Spec: ISO27017 Certified,Spec: ISO27018 Certified,Spec: ISO50001 Certified,Spec: ISO9001 Certified,Spec: Internet Exchange Points,Spec: Live Whitespace,Spec: Loading Bay,Spec: Loaner Tools,Spec: Mantrap Entry,Spec: Max Floor Load,Spec: Max power/area,Spec: Max power/rack,Spec: Meet-Me-Room (MMR),Spec: Network providers,Spec: Office Space,Spec: Onsite Security Staff,Spec: Onsite Technical Staff,Spec: PUE,Spec: Partial Cabinets,Spec: Peering networks,Spec: Remote Hands,Spec: Roof Access,Spec: SOC 2 Type II Certified,Spec: Shared Rackspace,Spec: Standby Power Redundancy,Spec: Suites,Spec: Tenants offering cloud,Spec: Tenants offering colocation,Spec: Tier Certification,Spec: Tier Design,Spec: Total Building Size,Spec: Total Plot Size,Spec: UPS Redundancy,Spec: Under Construciton Power,Spec: Under Construction Whitespace,Spec: Whitespace expandable,Spec: WiFi,Spec: Year Operational
K2 Data Center,K2 atmitec s.r.o.,Koksární 1097/7702 00 Ostrava - PřívozCzech Republic,Ostrava,https://www.datacentermap.com/czech-republic/ostrava/k2-datacenter/,No,,,No,,No,No,No,,,,,,,,,No,No,0.56 MW,66 sq.m.,No,No,No,,,No,No,,,,,,,,,,,,,,1.65,No,,No,,,No,,No,,,,Tier 3,,,,,,,,
CRA DC Ostrava,Ceske Radiokomunikace,"Vysílač Hošťálkovice, Aleje725 28  OstravaCzech Republic",Ostrava,https://www.datacentermap.com/czech-republic/ostrava/cra-dc-ostrava/,,,,No,,,No,,,,,,,,,,No,No,,,,,,,,,,,,,,,,,3 kW,,,,,,,No,,No,,,No,,No,,,,,,,,,,,,
TH Ostrava,Nej.cz,Ostravia Trade702 00 OstravaCzech Republic,Ostrava,https://www.datacentermap.com/czech-republic/ostrava/selfservis-ostrava/,,,,No,,No,No,,,,,,,,,,No,No,,,,,,,,,,,,,,,600 kg/sq.m.,,,,1,,,,,No,,No,,,No,,No,,,,,,,,,,,,
DC XEM Ostrava (T-Mobile CZ),T-Mobile Czech Republic a.s.,Na Desátém 3341/6702 00 Ostrava - Moravská OstravaCzech Republic,Ostrava,https://www.datacentermap.com/czech-republic/ostrava/dc-xem-ostrava/,No,,,No,,No,No,No,,,N+1,,,,,,No,No,0.15 MW,250 sq.m.,No,No,No,,,No,No,,,,,,,,10 kW,,,,,,1.65,No,,No,,,No,N+1,No,,,,Tier 3,,,N+1,,,,,
ZonerCloud Brno (Nove Sady),ZonerCloud,Nové sady 583/18602 00 Brno-středCzech Republic,Brno,https://www.datacentermap.com/czech-republic/brno/zonercloud-primary-datacenter/,,,,No,,No,No,,,,,,,,,,No,No,,,,,,,,,,,,,,,,,,,,,"Yes, 24/7",,,No,,No,,,No,,No,,,,Tier 3,,,,,,,,
DC PVT Brno (T-Mobile CZ),T-Mobile Czech Republic a.s.,Veveří 2581/102616 00 Brno - ŽabovřeskyCzech Republic,Brno,https://www.datacentermap.com/czech-republic/brno/t-mobile-dc-pvt-brno/,No,,,No,,No,No,No,,,N+1,,,,Raised Floor,,No,No,0.4 MW,370 sq.m.,,No,No,,,No,No,,,,,,,,10 kW,,,,,,1.65,No,,No,,,No,N+1,No,,,,,,,N+1,,,,,
Faster DC Brno,Faster CZ spol. s r.o.,Jarní 1064/44g614 00 Brno-Maloměřice a ObřanyCzech Republic,Brno,https://www.datacentermap.com/czech-republic/brno/faster-dc-brno/,No,,,No,,No,No,,,,,,,,,,No,No,,205 sq.m.,,,,,,,,,,,,,,,,,,,,,,No,,No,,,No,,No,,1,,,,,,,,,,2013
MasterDC Kanice,"Master Internet, Ltd.",Kanice 176664 01 KaniceCzech Republic,Brno,https://www.datacentermap.com/czech-republic/brno/masterdc-kanice/,,,,No,,,No,,,Retrofitted,,,,,,,No,No,25 MW,26000 sq.m.,,,,,,,,,,,,,,,120 kW,,,,,,1.2,No,,No,,,No,,No,,,,,,,,4 MW,1000 sq.m.,,,2026
TH Brno,Nej.cz,Palavske namesti 1162800 BrnoCzech Republic,Brno,https://www.datacentermap.com/czech-republic/brno/selfservis-brno/,,,,No,3,No,No,,,,N+1,,,,,,No,No,,,,,No,,,,No,,,,,,800 kg/sq.m.,,,,1,,,,,No,3,No,,,No,N+1,No,,,,Tier 3,,,N+1,,,,,
ZonerCloud Brno (Kovoterm),ZonerCloud,Cejl 825/20602 00 Brno-střed-ZábrdoviceCzech Republic,Brno,https://www.datacentermap.com/czech-republic/brno/zonercloud-brno-kovoterm/,,,,No,,,No,,,,,,,,,,No,No,,,,,,,,,,,,,,,,,,,,,"Yes, 24/7",,,No,,No,,,No,,No,,,,Tier 2,,,,,,,,
